NomeImpianto,TipoSportImpianto,IndirizzoImpianto,CapImpianto,CittaImpianto,Latitudine,Longitudine
Stadio comunale Augusto Magli,calcio ciclismo atletica leggera,Via Paolo Fabbri 1,40062,Molinella,44.6189607,11.6710353
Centro Tennis Comunale,tennis,Via Andrea Costa 2,40062,Molinella,44.6201285,11.6717276
Piscine,nuoto subacquea pallanuoto,Via Andrea Costa 6,40062,Molinella,44.6200806,11.6724666
Palestra Scolastica,pallavolo pallacanestro calcetto pallamano,Via Martiri della Liberazione,40062,Molinella,44.617604,11.672463
Palazzetto dello Sport,pallavolo pallacanestro pattinaggio,Via Martiri della Liberazione,40062,Molinella,44.6176037,11.6730367
Palestra Centro sportivo Andrea Costa,pallavolo pallacanestro arti marziali tiro con l'arco,Via Andrea Costa 4,40062,Molinella,44.6201078,11.6717626
Campo da calcetto,calcetto green volley,Via Martiri della Liberazione,40062,Molinella,44.6182675,11.6727395
Campo scuola mountain bike,mountain bike,Via Manin,40062,Molinella,44.6168406,11.6795589
Centro sportivo Franco Parenti,calcio beach tennis beach volley pallacanestro,Via Fiume Vecchio,40062,Marmorta,44.6168169,11.7232762
Campo da calcio S. Pietro Capofiume,calcio a 7,Via Bassa,40062,San Pietro Capofiume,44.6543225,11.6408548
Campo da calcio S. Martino in Argine,calcio a 7,Via Budella,40062,San Martino in Argine,44.5868410,11.6123056
Skate Park San Martino in Argine,skateboard,Strada provinciale,40062,San Martino in Argine,44.5878711,11.6083921
